"Category","Notice_type","Notice_desc","Company_name","Company_number","Date"
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for BROOKSON (5511E) LIMITED (06093238)","BROOKSON (5511E) LIMITED","6093238",2012-10-12
"Corporate Insolvency","Notice of Dividends","Notice timeline for 
                                    ACORN CARPENTRY (NORFOLK) LTD  (04621385 )
                                 ","THE INSOLVENCY ACT 1986","4621385",2013-02-13
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for S A BATES CONSTRUCTION LTD (07902800)","Actions","7902800",2014-01-16
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for K & T LOUGHTON LIMITED (06262789)","K & T LOUGHTON LIMITED","6262789",2014-08-27
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for THE LD GROUP LTD  (07986602)","Actions","7986602",2014-10-15
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for ASSOCIATED STEEL WORKS LTD (08324163)","ASSOCIATED STEEL WORKS LTD","8324163",2015-05-13
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for MYTIGHTS.COM LIMITED (03882350)","MYTIGHTS.COM LIMITED","3882350",2016-04-01
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for A. HARVEY & CO. (THE WIREWORKERS) LIMITED (00226896)","A. HARVEY & CO. (THE WIREWORKERS) LIMITED","226896",2016-08-17
"Corporate Insolvency","Meetings of Creditors","Notice timeline for WILL CLARK LIMITED (06393195)","WILL CLARK LIMITED","6393195",2016-10-11
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for WILL CLARK LIMITED (06393195)","WILL CLARK LIMITED","6393195",2016-10-11
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for 
                                    DESERT JEWEL LIMITED (03484200)
                                 ","
                                             DESERT JEWEL LIMITED","3484200",2016-11-17
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for PROMAC SOLUTIONS LIMITED (05836391)","PROMAC SOLUTIONS LIMITED","5836391",2017-07-07
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for NHC CONSULTING LTD (07901727)","NHC CONSULTING LTD","7901727",2017-08-03
"Corporate Insolvency","Notices to Creditors","Notice timeline for DHRA GEOTECHNICAL LIMITED (06908656)","DHRA GEOTECHNICAL LIMITED","6908656",2017-08-30
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for CONSTRUCTION SOLUTIONS NORTH LIMITED  (07366156)","Actions","7366156",2017-09-06
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for TDLC LIMITED  (08102103)","Actions","8102103",2017-10-04
"Corporate Insolvency","Winding-Up Orders","Notice timeline for SUMMERS POULTRY PRODUCTS LIMITED (04044104)","SUMMERS POULTRY PRODUCTS LIMITED","4044104",2017-11-16
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for NIPPY BUS LTD (05081015)","NIPPY BUS LTD","5081015",2017-11-23
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for SW GLASS & GLAZING LIMITED  (07879728)","SW GLASS & GLAZING LIMITED ","7879728",2017-11-24
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for RELIEF PROFESSIONALS LTD (08114070)","Actions","8114070",2017-12-01
"Corporate Insolvency","Meetings of Creditors","Notice timeline for COOL SYSTEMS HOLDINGS LTD (06754088 )","COOL SYSTEMS HOLDINGS LTD","6754088",2018-04-20
"Corporate Insolvency","Meetings of Creditors","Notice timeline for MIMOSA BUSINESS SOLUTIONS LTD (07986337)","MIMOSA BUSINESS SOLUTIONS LTD","7986337",2018-05-03
"Corporate Insolvency","Winding-Up Orders","Notice timeline for BILSTON SHEET METAL WORKERS LTD (00297764)","BILSTON SHEET METAL WORKERS LTD","297764",2018-05-11
"Corporate Insolvency","Notices to Creditors","Notice timeline for AIMROCK CONSULTING LIMITED (09113024)","AIMROCK CONSULTING LIMITED","9113024",2018-08-10
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for AIMROCK CONSULTING LIMITED (09113024)","AIMROCK CONSULTING LIMITED","9113024",2018-08-10
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for SPACEAGE PVC LIMITED (05366753)","Actions","5366753",2018-09-14
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ANGLIAN BUILDING SERVICES LTD (10221074)","ANGLIAN BUILDING SERVICES LTD","10221074",2018-09-21
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for ANGLIAN BUILDING SERVICES LTD (10221074)","Actions","10221074",2018-09-21
"Corporate Insolvency","Notices to Creditors","Notice timeline for ANGLIAN BUILDING SERVICES LTD (10221074)","ANGLIAN BUILDING SERVICES LTD","10221074",2018-09-21
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BSS LED (R&D) LIMITED (07235861)","BSS LED (R&D) LIMITED","7235861",2018-11-01
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for BSS LED (R&D) LIMITED (07235861)","Actions","7235861",2018-11-01
"Corporate Insolvency","Meetings of Creditors","Notice timeline for SENATOR DEVELOPMENTS RETAIL LTD (05585679)","SENATOR DEVELOPMENTS RETAIL LTD","5585679",2018-11-26
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for SENATOR DEVELOPMENTS RETAIL LTD (05585679)","Actions","5585679",2018-11-26
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for BRIDGEHEAD FOOD PARTNERS LIMITED (05164548)","BRIDGEHEAD FOOD PARTNERS LIMITED","5164548",2018-12-20
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for LANGFORD HOMES (NW) LTD (11180482)","Actions","11180482",2019-02-01
"Corporate Insolvency","Notice of Intended Dividends","Notice timeline for EO PARTNERS LIMITED (08072788)","EO PARTNERS LIMITED","8072788",2019-02-12
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for MERCURY HEARING LIMITED (08918545)","MERCURY HEARING LIMITED","8918545",2019-03-21
"Corporate Insolvency","Winding-Up Orders","Notice timeline for SUNRISE BOOKS LTD (07924451)","SUNRISE BOOKS LTD","7924451",2019-03-28
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for BJTEX RECYCLING LIMITED (NI616756)","BJTEX RECYCLING LIMITED","616756",2019-04-18
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for M4 MARKETING LIMITED (10517659)","M4 MARKETING LIMITED","10517659",2019-06-28
"Corporate Insolvency","Final Meetings","Notice timeline for 
                                    PHILIP CAPLAN LIMITED (SC095445)
                                 ","
                                             PHILIP CAPLAN LIMITED","95445",2019-07-23
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for ECOVISION SYSTEMS LIMITED  (05133666)","Actions","5133666",2019-07-26
"Corporate Insolvency","Meetings of Creditors","Notice timeline for SHERRINE CRYSTAL 108 LIMITED (09794976)","SHERRINE CRYSTAL 108 LIMITED","9794976",2019-08-13
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for K J L CONSULTANCY LTD  (07580224)","Actions","7580224",2019-08-15
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CANYON RECRUITMENT LTD (10481751)","CANYON RECRUITMENT LTD","10481751",2019-08-22
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for CANYON RECRUITMENT LTD (10481751)","Actions","10481751",2019-08-22
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for E WORLD UK LTD
                                     (05983190)
                                 ","Actions","5983190",2019-08-29
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for KLARO PROPERTIES LTD (SC507564)","KLARO PROPERTIES LTD","507564",2019-08-30
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for KENNEDY GLOBAL LIMITED (09431566)","KENNEDY GLOBAL LIMITED","9431566",2019-09-06
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for FAZTECK LIMITED (SC398377)","FAZTECK LIMITED","398377",2019-09-10
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for BARONY CONTRACTS LIMITED (SC544749)","BARONY CONTRACTS LIMITED","544749",2019-09-13
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for HULL ACCOMMODATION LTD (10750893)","HULL ACCOMMODATION LTD","10750893",2019-09-13
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for REDWOOD DINING LTD (SC499712)","REDWOOD DINING LTD","499712",2019-09-17
"Corporate Insolvency","Dismissal of Winding Up Petition","Notice timeline for T J R (N/E) LIMITED  (10875135)","Actions","10875135",2019-09-27
"Corporate Insolvency","Meetings of Creditors","Notice timeline for BATH & WEST DEVELOPMENTS LLP (OC358811)","BATH & WEST DEVELOPMENTS LLP","358811",2019-10-07
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for EXQUISITE CARRIAGE LTD (08022072)","NOTICE TO CREDITORS OF AN INSOLVENT COMPANY AND THE RE-USE OF A PROHIBITED NAME","8022072",2019-10-09
"Corporate Insolvency","Meetings of Creditors","Notice timeline for S & H KITCHENS LIMITED (04842908)","S & H KITCHENS LIMITED","4842908",2019-10-11
"Corporate Insolvency","Winding-Up Orders","Notice timeline for SUBBA MEDIA LTD (08526068)","SUBBA MEDIA LTD","8526068",2019-10-18
"Corporate Insolvency","Winding-Up Orders","Notice timeline for EIE SOLUTIONS LTD (10777657)","EIE SOLUTIONS LTD","10777657",2019-10-18
"Corporate Insolvency","Winding-Up Orders","Notice timeline for ARDN TECHNOLOGY LIMITED (09317791)","ARDN TECHNOLOGY LIMITED","9317791",2019-10-18
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for KLUBLAND LEISURE LIMITED (10883940)","KLUBLAND LEISURE LIMITED","10883940",2019-10-22
"Corporate Insolvency","Appointment of Liquidators","Notice timeline for KLUBLAND LEISURE LIMITED (10883940)","Actions","10883940",2019-10-22
"Corporate Insolvency","Notices to Creditors","Notice timeline for CALLGRAND LIMITED (04246686)","CALLGRAND LIMITED","4246686",2019-10-23
"Corporate Insolvency","Winding-Up Orders","Notice timeline for SOLAR SERVE LTD (08352853)","SOLAR SERVE LTD","8352853",2019-10-23
"Corporate Insolvency","Winding-Up Orders","Notice timeline for MENTMORE GOLF CORPORATE LTD (09664708)","MENTMORE GOLF CORPORATE LTD","9664708",2019-10-24
"Corporate Insolvency","Petitions to Wind Up (Companies)","Notice timeline for GREEN LANTERN EMPLOYMENT LTD  (08706053)","Actions","8706053",2019-10-24
"Corporate Insolvency","Moratoria, Prohibited Names and Other: Re-use of a Prohibited Name","Notice timeline for IQ REALISATIONS 2019 LIMITED  (10214773)","NOTICE TO THE CREDITORS OF AN INSOLVENT COMPANY OF THE RE-USE OF A PROHIBITED NAME","10214773",2019-10-25
