"Category","Notice_type","Notice_desc","Company_name","Company_number","Date","notice_id"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for S & O CONSULTANTS LIMITED (09395683)","S & O CONSULTANTS LIMITED","09395683",2020-03-11,"3520144"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ORGANISATIONAL CHANGE MANAGEMENT LIMITED (09909083)","ORGANISATIONAL CHANGE MANAGEMENT LIMITED","09909083",2020-03-11,"3520147"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OLIVER BEBB CONSULTING LIMITED (09276864)","OLIVER BEBB CONSULTING LIMITED","09276864",2020-03-11,"3520149"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THORPE HERITAGE LTD (09936913)","THORPE HERITAGE LTD","09936913",2020-03-11,"3520153"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ECOTROL LIMITED (07775746)","ECOTROL LIMITED","07775746",2020-03-11,"3520385"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FULLSTACK CONSULTING LIMITED (10046511)","FULLSTACK CONSULTING LIMITED","10046511",2020-03-11,"3520389"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TRILOGY DEVELOPMENTS LIMITED (07746983)","TRILOGY DEVELOPMENTS LIMITED","07746983",2020-03-11,"3520394"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WERNER SOBEK LONDON LIMITED (08801003)","WERNER SOBEK LONDON LIMITED","08801003",2020-03-11,"3520398"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ELUZAI CONSULTING LIMITED (08336874)","ELUZAI CONSULTING LIMITED","08336874",2020-03-11,"3520427"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for N. J. MASTERS CONSULTANCY SERVICES LIMITED (10682641)","N. J. MASTERS CONSULTANCY SERVICES LIMITED","10682641",2020-03-11,"3520474"
"Corporate Insolvency","Resolutions for Winding-up","Open Government Licence","GLASSHOUSES TROUT FARM LIMITED","03856720",2020-03-11,"3520513"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AIA BUSINESS SERVICES LIMITED (09383806)","AIA BUSINESS SERVICES LIMITED","09383806",2020-03-11,"3520528"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ANN REEVES HOLDINGS LIMITED (05914680)","ANN REEVES HOLDINGS LIMITED","05914680",2020-03-11,"3520532"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MARK J DRAGE (INTERIM) LTD (10531130)","MARK J DRAGE (INTERIM) LTD","10531130",2020-03-11,"3520537"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for R.V.M. INVESTMENTS (LONDON) LIMITED (00711744)","THE COMPANIES ACT 2006","00711744",2020-03-11,"3520549"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for M & G FABRICATIONS LIMITED (04777356)","THE INSOLVENCY ACT 1986","04777356",2020-03-11,"3520550"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for N.S.W. BUILDING SERVICES LIMITED (04618084)","THE COMPANIES ACT 2006","04618084",2020-03-11,"3520551"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WHITEFRIARS MEDICAL LIMITED (06933417)","WHITEFRIARS MEDICAL LIMITED","06933417",2020-03-11,"3520555"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BICESTER LOGISTICS LIMITED (10820789)","BICESTER LOGISTICS LIMITED","10820789",2020-03-11,"3520566"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SPEIGHT LIMITED (08006090)","SPEIGHT LIMITED","08006090",2020-03-11,"3520570"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AST (CRAFTSMAN) LIMITED (05457182)","AST (CRAFTSMAN) LIMITED","05457182",2020-03-11,"3520582"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RED OCEAN CONSULTING LIMITED (06984369)","RED OCEAN CONSULTING LIMITED","06984369",2020-03-11,"3520593"
